Customer_ID,Country,Acquisition_Channel,Signup_Date
CUST-1000,France,Organic Search,2024-08-13
CUST-1001,USA,Organic Search,2026-12-18
CUST-1002,USA,Direct,2024-08-02
CUST-1003,France,Referral,2026-12-10
CUST-1004,Canada,Organic Search,2025-07-18
CUST-1005,UK,Organic Search,2023-05-26
CUST-1006,UK,Referral,2026-11-08
CUST-1007,UK,Paid Social,2024-04-23
CUST-1008,France,Referral,2024-06-25
CUST-1009,USA,Paid Social,2026-07-04
CUST-1010,France,Direct,2026-04-22
CUST-1011,France,Email,2026-09-16
CUST-1012,Germany,Direct,2024-02-10
CUST-1013,USA,Email,2025-05-20
CUST-1014,Germany,Organic Search,2023-08-24
CUST-1015,Australia,Organic Search,2026-01-20
CUST-1016,USA,Organic Search,2024-04-05
CUST-1017,USA,Paid Social,2026-08-19
CUST-1018,USA,Email,2023-11-02
CUST-1019,UK,Organic Search,2024-06-28
CUST-1020,UK,Referral,2023-10-19
CUST-1021,Germany,Email,2023-05-27
CUST-1022,Germany,Email,2023-05-03
CUST-1023,USA,Paid Social,2023-12-06
CUST-1024,Germany,Direct,2024-09-21
CUST-1025,UK,Paid Social,2026-05-03
CUST-1026,France,Organic Search,2026-03-11
CUST-1027,France,Referral,2024-08-14
CUST-1028,France,Referral,2025-06-18
CUST-1029,Germany,Organic Search,2023-09-12
CUST-1030,Australia,Referral,2025-08-17
CUST-1031,UK,Paid Social,2026-11-11
CUST-1032,Australia,Paid Social,2024-09-14
CUST-1033,Germany,Organic Search,2026-12-04
CUST-1034,Canada,Referral,2025-04-04
CUST-1035,Japan,Email,2024-07-11
CUST-1036,Japan,Direct,2025-10-21
CUST-1037,USA,Email,2026-01-10
CUST-1038,Japan,Paid Social,2025-10-08
CUST-1039,Japan,Paid Social,2025-06-15
CUST-1040,UK,Paid Social,2023-06-14
CUST-1041,France,Paid Social,2026-05-09
CUST-1042,Australia,Direct,2023-03-23
CUST-1043,Canada,Organic Search,2025-06-03
CUST-1044,Canada,Paid Social,2024-10-22
CUST-1045,UK,Referral,2026-05-21
CUST-1046,UK,Direct,2024-05-27
CUST-1047,Japan,Paid Social,2023-02-22
CUST-1048,Canada,Referral,2023-07-07
CUST-1049,USA,Paid Social,2024-04-13
CUST-1050,USA,Organic Search,2026-10-12
CUST-1051,Australia,Direct,2026-03-24
CUST-1052,USA,Organic Search,2026-04-17
CUST-1053,Canada,Direct,2023-02-12
CUST-1054,Japan,Paid Social,2026-10-08
CUST-1055,Canada,Paid Social,2024-07-05
CUST-1056,Germany,Direct,2026-03-26
CUST-1057,Canada,Referral,2023-03-24
CUST-1058,Japan,Referral,2023-12-25
CUST-1059,USA,Paid Social,2025-08-21
CUST-1060,France,Paid Social,2025-11-28
CUST-1061,Australia,Organic Search,2026-08-27
CUST-1062,Germany,Paid Social,2025-06-24
CUST-1063,USA,Direct,2024-07-23
CUST-1064,Australia,Referral,2024-01-07
CUST-1065,USA,Referral,2026-04-13
CUST-1066,Germany,Organic Search,2025-06-11
CUST-1067,Canada,Referral,2026-07-24
CUST-1068,Japan,Referral,2025-10-04
CUST-1069,France,Email,2023-07-06
CUST-1070,Germany,Direct,2025-08-20
CUST-1071,Japan,Email,2024-12-13
CUST-1072,Canada,Referral,2025-04-16
CUST-1073,Germany,Organic Search,2024-11-13
CUST-1074,UK,Organic Search,2024-10-19
