Transaction_ID,Customer_ID,Purchase_Date,Product_Category,Order_Value,Country
TXN-10000,CUST-263,2026-07-20,Home Decor,574.3193758940965,USA
TXN-10001,CUST-128,2025-10-31,Home Decor,,France
TXN-10002,CUST-106,2025-11-22,Footwear,1103.3510338808796,Japan
TXN-10003,CUST-289,2026-02-15,Footwear,906.0145566116141,France
TXN-10004,CUST-170,2025-07-23,Home Decor,250.90758785480605,Japan
TXN-10005,CUST-162,2026-05-13,Apparel,,UK
TXN-10006,CUST-157,2025-05-31,Electronics,-105.9637460089352,Canada
TXN-10007,CUST-135,2024-06-16,Home Decor,,Japan
TXN-10008,CUST-288,2026-08-21,Home Decor,909.650217379949,USA
TXN-10009,CUST-126,2024-02-09,Apparel,1067.9474151381473,Australia
TXN-10010,CUST-273,2024-04-16,Home Decor,50.46505155778762,Canada
TXN-10011,CUST-289,2025-12-17,Home Decor,,Canada
TXN-10012,CUST-328,2025-04-04,Apparel,1252.0151083846242,Japan
TXN-10013,CUST-239,2024-05-20,Home Decor,334.2618838038487,Japan
TXN-10014,CUST-122,2024-03-23,Footwear,289.1009514665089,USA
TXN-10015,CUST-251,2024-03-04,Footwear,291.43867458308205,Australia
TXN-10016,CUST-208,2025-05-21,Footwear,,Japan
TXN-10017,CUST-108,2025-02-12,Footwear,796.639518815712,USA
TXN-10018,CUST-107,2024-02-11,Home Decor,659.2786275903313,Japan
TXN-10019,CUST-123,2024-11-08,Electronics,451.019127493102,Japan
TXN-10020,CUST-155,2025-05-03,Footwear,925.5422841891216,UK
TXN-10021,CUST-159,2024-09-15,Footwear,226.4509137650219,UK
TXN-10022,CUST-229,2026-08-27,Home Decor,452.37407983212285,Japan
TXN-10023,CUST-254,2024-08-22,Home Decor,562.2155280746637,France
TXN-10024,CUST-106,2025-03-22,Apparel,694.9835766412132,Germany
TXN-10025,CUST-243,2026-08-10,Footwear,1182.06042286166,France
TXN-10026,CUST-150,2025-06-08,Apparel,-315.5171975943724,Canada
TXN-10027,CUST-283,2026-01-25,Footwear,781.0669688521451,Japan
TXN-10028,CUST-266,2024-12-09,Electronics,896.7735619158228,France
TXN-10029,CUST-279,2024-08-22,Home Decor,88.74661082559663,Germany
TXN-10030,CUST-239,2024-12-01,Home Decor,919.1663808141287,France
TXN-10031,CUST-207,2025-09-29,Apparel,272.37570305719146,Australia
TXN-10032,CUST-156,2024-08-09,Apparel,116.27635761821368,UK
TXN-10033,CUST-214,2024-02-22,Home Decor,,Germany
TXN-10034,CUST-250,2025-09-30,Home Decor,1449.135408950348,UK
TXN-10035,CUST-171,2026-02-07,Home Decor,1216.4280752123625,Japan
TXN-10036,CUST-307,2026-03-23,Footwear,470.8283783765886,UK
TXN-10037,CUST-322,2025-02-10,Footwear,164.55472872944813,Japan
TXN-10038,CUST-101,2024-06-04,Electronics,1032.6648792379922,UK
TXN-10039,CUST-294,2025-05-12,Footwear,,Japan
TXN-10040,CUST-306,2024-07-27,Home Decor,200.61658757027266,USA
TXN-10041,CUST-140,2025-09-09,Footwear,752.8618269646798,Germany
TXN-10042,CUST-278,2024-09-04,Apparel,70.89501125052323,Canada
TXN-10043,CUST-208,2024-03-25,Home Decor,1365.7941950765974,Germany
TXN-10044,CUST-187,2025-12-12,Footwear,402.994372768025,Canada
TXN-10045,CUST-171,2026-12-27,Home Decor,1000.5329808438934,Germany
TXN-10046,CUST-139,2026-05-27,Apparel,481.3323926123282,Germany
TXN-10047,CUST-155,2026-01-28,Apparel,789.70067134316,UK
TXN-10048,CUST-345,2024-05-21,Footwear,829.1312134280539,Canada
TXN-10049,CUST-295,2026-11-02,Home Decor,293.58459417778,France
TXN-10050,CUST-186,2025-11-29,Electronics,-1454.9852490915466,Canada
TXN-10051,CUST-126,2024-01-26,Apparel,1167.1965785744496,Canada
TXN-10052,CUST-123,2026-05-10,Electronics,1410.4584335149998,Germany
TXN-10053,CUST-197,2026-09-30,Footwear,1344.3444786329203,Canada
TXN-10054,CUST-124,2024-08-04,Apparel,904.891968640406,Japan
TXN-10055,CUST-191,2026-06-06,Electronics,,Germany
TXN-10056,CUST-316,2026-01-11,Apparel,150.96890303684086,France
TXN-10057,CUST-188,2026-07-30,Electronics,310.0546363803349,Japan
TXN-10058,CUST-254,2024-11-09,Home Decor,86.93638758759634,USA
TXN-10059,CUST-167,2026-06-10,Home Decor,501.48888952963125,UK
TXN-10060,CUST-306,2024-12-26,Footwear,595.2423887404334,Japan
TXN-10061,CUST-111,2026-12-04,Apparel,421.59656702536597,Japan
TXN-10062,CUST-286,2025-07-07,Electronics,-1246.5315135448554,Australia
TXN-10063,CUST-217,2026-09-17,Footwear,,USA
TXN-10064,CUST-237,2026-08-10,Home Decor,435.7830743373235,Canada
TXN-10065,CUST-131,2026-06-11,Home Decor,823.1902030742077,Japan
TXN-10066,CUST-349,2025-07-03,Footwear,228.56785296264871,France
TXN-10067,CUST-336,2025-10-22,Apparel,,UK
TXN-10068,CUST-196,2025-05-17,Electronics,130.3349526460608,France
TXN-10069,CUST-120,2024-06-26,Home Decor,1480.5926661687656,Japan
TXN-10070,CUST-241,2025-07-25,Footwear,1162.922258559053,UK
TXN-10071,CUST-175,2026-07-12,Home Decor,314.09920867057514,UK
TXN-10072,CUST-312,2025-05-14,Home Decor,,UK
TXN-10073,CUST-260,2026-08-09,Electronics,1226.8829141131546,France
TXN-10074,CUST-258,2026-02-15,Apparel,1066.1488688944733,Canada
TXN-10075,CUST-326,2025-11-19,Apparel,1098.9306087006612,Japan
TXN-10076,CUST-320,2024-02-28,Electronics,1161.4801130951996,UK
TXN-10077,CUST-192,2026-10-09,Footwear,129.58608456645374,Japan
TXN-10078,CUST-247,2025-10-27,Footwear,-550.5292782455234,Japan
TXN-10079,CUST-149,2025-01-07,Apparel,191.486208097192,France
TXN-10080,CUST-280,2026-09-25,Home Decor,1297.3930702958785,Australia
TXN-10081,CUST-117,2025-03-10,Home Decor,942.4812277047857,Australia
TXN-10082,CUST-111,2025-12-27,Footwear,,UK
TXN-10083,CUST-269,2025-06-13,Electronics,,Germany
TXN-10084,CUST-158,2025-11-28,Home Decor,480.25383613918007,France
TXN-10085,CUST-297,2025-07-26,Footwear,501.27131659958565,Canada
TXN-10086,CUST-174,2025-07-19,Electronics,1099.8171439403347,France
TXN-10087,CUST-120,2024-01-21,Apparel,,Australia
TXN-10088,CUST-318,2026-11-24,Electronics,,Australia
TXN-10089,CUST-159,2025-01-26,Apparel,718.878089239685,Australia
TXN-10090,CUST-321,2024-06-24,Footwear,196.9994839886865,USA
TXN-10091,CUST-125,2025-05-09,Electronics,1075.6022850900326,France
TXN-10092,CUST-197,2026-04-12,Footwear,1145.9618719530083,Japan
TXN-10093,CUST-171,2026-09-27,Apparel,850.6902524028544,Japan
TXN-10094,CUST-216,2025-05-07,Home Decor,1161.0314263327502,USA
TXN-10095,CUST-262,2026-09-02,Home Decor,750.8174826192983,Australia
TXN-10096,CUST-313,2026-10-02,Apparel,793.6445874853512,Germany
TXN-10097,CUST-193,2026-07-06,Home Decor,652.7607071706534,France
TXN-10098,CUST-141,2024-02-05,Home Decor,57.62030758126088,Canada
TXN-10099,CUST-194,2024-07-09,Electronics,179.67931195009058,France
TXN-10100,CUST-190,2025-08-25,Electronics,66.51519481636669,Canada
TXN-10101,CUST-153,2025-03-29,Home Decor,961.887408670395,Australia
TXN-10102,CUST-271,2026-04-08,Electronics,485.24685199296346,Australia
TXN-10103,CUST-168,2025-05-13,Apparel,772.6846229237601,Canada
TXN-10104,CUST-279,2025-09-19,Electronics,1363.1983814106177,Germany
TXN-10105,CUST-339,2026-01-25,Electronics,388.9524991403349,USA
TXN-10106,CUST-274,2026-08-27,Electronics,-627.366726092732,Japan
TXN-10107,CUST-265,2026-12-23,Footwear,1138.215685043712,Japan
TXN-10108,CUST-118,2025-12-05,Apparel,358.62128492760127,Japan
TXN-10109,CUST-255,2026-05-21,Home Decor,133.9302665466136,France
TXN-10110,CUST-262,2025-11-08,Home Decor,448.83215031237665,USA
TXN-10111,CUST-143,2025-12-21,Footwear,258.60750513592654,France
TXN-10112,CUST-236,2026-07-18,Electronics,1395.9525254670082,Australia
TXN-10113,CUST-286,2025-07-08,Apparel,1216.0181617553371,France
TXN-10114,CUST-162,2025-09-19,Apparel,957.4375596354267,France
TXN-10115,CUST-141,2025-05-29,Home Decor,1309.7616734778221,France
TXN-10116,CUST-218,2025-04-17,Footwear,1209.4346738106894,Canada
TXN-10117,CUST-197,2024-09-04,Footwear,296.12368715133306,Japan
TXN-10118,CUST-169,2025-01-29,Footwear,1340.987317765167,USA
TXN-10119,CUST-336,2025-10-08,Footwear,818.226518035163,Japan
TXN-10120,CUST-263,2024-09-01,Apparel,1215.0114296428126,Germany
TXN-10121,CUST-276,2025-01-14,Electronics,1346.21512388677,Australia
TXN-10122,CUST-242,2025-01-27,Home Decor,490.6451429583585,UK
TXN-10123,CUST-156,2025-03-19,Apparel,182.8768483009616,Australia
TXN-10124,CUST-275,2026-09-18,Footwear,,Japan
TXN-10125,CUST-183,2025-07-20,Footwear,652.1195271668594,UK
TXN-10126,CUST-315,2026-12-10,Home Decor,1230.66185356529,Australia
TXN-10127,CUST-296,2025-08-02,Electronics,1293.8812632193883,Canada
TXN-10128,CUST-298,2024-07-24,Electronics,30.289153186162242,Canada
TXN-10129,CUST-114,2025-02-01,Electronics,775.9060078147972,Japan
TXN-10130,CUST-158,2025-08-29,Footwear,637.7682846601929,Canada
TXN-10131,CUST-310,2025-04-10,Apparel,,Canada
TXN-10132,CUST-108,2026-01-09,Apparel,197.40074365385055,Germany
TXN-10133,CUST-306,2025-01-02,Electronics,,Germany
TXN-10134,CUST-180,2025-09-11,Home Decor,1415.5063617905284,UK
TXN-10135,CUST-202,2024-01-29,Electronics,498.34033939071776,Germany
TXN-10136,CUST-168,2026-12-29,Electronics,787.8101201801818,Japan
TXN-10137,CUST-116,2024-09-16,Home Decor,1060.4680591648632,Australia
TXN-10138,CUST-154,2025-07-15,Electronics,558.171811521355,Japan
TXN-10139,CUST-333,2024-04-03,Home Decor,1458.2374824270219,Canada
TXN-10140,CUST-341,2024-04-21,Home Decor,1444.4219965143245,France
TXN-10141,CUST-245,2025-08-21,Apparel,392.6377978215389,Japan
TXN-10142,CUST-324,2024-09-15,Home Decor,,USA
