Product_ID,Category,Unit_Cost,Retail_Price
PROD-100,Footwear,153.63,373.17
PROD-101,Apparel,219.54,522.81
PROD-102,Accessories,93.98,191.38
PROD-103,Apparel,22.94,41.81
PROD-104,Footwear,130.75,175.25
PROD-105,Footwear,26.68,34.82
PROD-106,Accessories,48.76,66.51
PROD-107,Accessories,191.76,366.81
PROD-108,Home Decor,117.37,231.99
PROD-109,Home Decor,138.85,275.9
PROD-110,Apparel,238.96,322.29
PROD-111,Accessories,217.65,322.02
PROD-112,Footwear,266.99,464.02
PROD-113,Footwear,122.63,263.47
PROD-114,Home Decor,130.9,270.26
PROD-115,Home Decor,286.31,599.21
PROD-116,Footwear,24.8,56.58
PROD-117,Apparel,132.4,287.04
PROD-118,Home Decor,244.47,470.18
PROD-119,Accessories,287.2,554.35
PROD-120,Apparel,126.19,294.74
PROD-121,Footwear,261.09,558.05
PROD-122,Home Decor,182.12,301.8
PROD-123,Accessories,154.69,216.74
PROD-124,Footwear,71.15,95.39
PROD-125,Accessories,113.43,248.57
PROD-126,Accessories,71.72,126.07
PROD-127,Accessories,292.49,662.18
PROD-128,Accessories,204.12,392.68
PROD-129,Accessories,279.08,635.83
